uin,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_date_timestamp,award_inserted_date_timestamp,award_updated_timestamp,award_delete_flag_timestamp
AS002979,,,,,,,,,,,,
AS002983,,,,,,,,,,,,
AS002984,,,,,,,,,,,,
AS003009,,,,,,,,,,,,
AS003035,,,,,,,,,,,,
AS003097,,,,,,,,,,,,
AS003456,,,,,,,,,,,,
AS003550,,,,,,,,,,,,
AS003621,,,,,,,,,,,,
AS004855,,,,,,,,,,,,
AS005057,,,,,,,,,,,,
AS005542,,,,,,,,,,,,
AS005543,,,,,,,,,,,,
AS005563,,,,,,,,,,,,
AS005603,,,,,,,,,,,,
AS005723,,,,,,,,,,,,
AS005742,,,,,,,,,,,,
AS005765,,,,,,,,,,,,
AS005824,,,,,,,,,,,,
AS005836,,,,,,,,,,,,
AS005839,,,,,,,,,,,,
AS006085,,,,,,,,,,,,
AS006130,,,,,,,,,,,,
AS006159,,,,,,,,,,,,
AS006181,,,,,,,,,,,,
AS006212,,,,,,,,,,,,
AS006333,,,,,,,,,,,,
AS006344,,,,,,,,,,,,
AS006372,,,,,,,,,,,,
AS006535,,,,,,,,,,,,
AS006552,,,,,,,,,,,,
AS006561,,,,,,,,,,,,
AS006569,,,,,,,,,,,,
AS006585,,,,,,,,,,,,
AS006605,,,,,,,,,,,,
AS006779,,,,,,,,,,,,
AS006816,,,,,,,,,,,,
AS006836,,,,,,,,,,,,
AS006849,,,,,,,,,,,,
AS006874,,,,,,,,,,,,
AS006964,,,,,,,,,,,,
AS006977,,,,,,,,,,,,
AS007033,,,,,,,,,,,,
AS007061,,,,,,,,,,,,
AS007088,Biju Phukan Award,Apollo Hospital,2020.0,India,National,https://drbrdas.com/about-dr-bikash,,,2025-04-07 13:09:50,2025-04-07 13:09:50,,
AS007088,Bytikram Award,Apollo Hospital,2021.0,India,National,https://drbrdas.com/about-dr-bikash,,,2025-04-07 13:09:50,2025-04-07 13:09:50,,
AS007088,Clinical Innovation Award,Apollo Hospital,2023.0,India,National,https://drbrdas.com/about-dr-bikash,,,2025-04-07 13:09:50,2025-04-07 13:09:50,,
AS007092,,,,,,,,,,,,
AS007118,,,,,,,,,,,,
AS007132,,,,,,,,,,,,
AS007226,,,,,,,,,,,,
AS007301,,,,,,,,,,,,
AS007317,Andrology India Felicitated for special achievement Award,The Health Minister of Government of NCT Delhi,,India,National,https://www.apollo247.com/doctors/dr-nilakshi-deka-ed5e6455-f4ba-4361-ab0f-ea1408835384,,,2025-03-22 12:50:02,2025-03-22 12:50:02,,
AS007317,Best House Surgeon Award,LNJP and GP Pant Hospital,,India,National,https://www.apollo247.com/doctors/dr-nilakshi-deka-ed5e6455-f4ba-4361-ab0f-ea1408835384,,,2025-03-22 12:08:52,2025-03-22 12:08:52,,
AS007317,Felicitated for special achievement Award,The Health Minister of Government of NCT Delhi,,India,National,https://www.apollo247.com/doctors/dr-nilakshi-deka-ed5e6455-f4ba-4361-ab0f-ea1408835384,,,2025-03-22 12:28:13,2025-03-22 12:28:13,,
