uin,acd_institute_name,acd_institute_type,acd_department,acd_position,acd_city,acd_state,acd_country,acd_postal_code,acd_tenure_from_date,acd_tenure_to_date,acd_association_level,acd_source_url1,acd_source_url2,acd_source_url3,acd_processed_date_timestamp,acd_inserted_date_timestamp,acd_updated_timestamp,acd_delete_flag_timestamp
AP021358,Mamata Medical College,Academic,Department of Cardiology,Associate Professor,Khammam,Telangana ,India,507002.0,2014.0,2015.0,National,https://www.linkedin.com/in/vinod-kumar-mustyala-029bbb75/,,,2025-06-17 09:48:32,2025-06-17 09:48:32,,
AP021358,ASRAM Medical College,Academic,Department of Cardiology,Associate Professor,Eluru,Andhra Pradesh ,India,534005.0,2011.0,2012.0,National,https://www.linkedin.com/in/vinod-kumar-mustyala-029bbb75/,,,2025-06-17 09:48:32,2025-06-17 09:48:32,,
AP021358,Sri Venkateswara Institute of Medical Sciences (SVIMS) Tirupati,Academic,Department of Cardiology,Associate Professor,Tirupati,Andhra Pradesh ,India,517507.0,2010.0,2011.0,National,https://www.linkedin.com/in/vinod-kumar-mustyala-029bbb75/,,,2025-06-17 09:48:32,2025-06-17 09:48:32,,
AP021533,Kamineni Institute of Medical Sciences,Academic,Department of Internal Medicine,Assistant Professor,Narketpalle,Telangana,India,508254.0,2000.0,2004.0,National,https://www.kimshospitals.com/doctor-profile/dr-prasun-deb/,,,2025-03-22 09:59:32,2025-03-22 09:59:32,,
AP021538,,,,,,,,,,,,,,,,,,
AP021558,,,,,,,,,,,,,,,,,,
AP021607,,,,,,,,,,,,,,,,,,
AP021673,,,,,,,,,,,,,,,,,,
AP021674,,,,,,,,,,,,,,,,,,
AP021687,,,,,,,,,,,,,,,,,,
AP021794,,,,,,,,,,,,,,,,,,
AP021836,,,,,,,,,,,,,,,,,,
AP021884,,,,,,,,,,,,,,,,,,
AP021895,,,,,,,,,,,,,,,,,,
AP021916,,,,,,,,,,,,,,,,,,
AP021949,,,,,,,,,,,,,,,,,,
AP022023,,,,,,,,,,,,,,,,,,
AP022062,,,,,,,,,,,,,,,,,,
AP022067,,,,,,,,,,,,,,,,,,
AP022158,Deccan College of Medical Sciences,Academic,Department of Internal Medicine,Assistant Professor,Hyderabad,Telangana,India,500058.0,2015.0,2016.0,National,https://www.yashodahospitals.com/doctor/somajiguda/general-medicine/dr-dilip-gude/,,,2025-03-19 10:07:31,2025-03-19 10:07:31,,
AP022159,,,,,,,,,,,,,,,,,,
AP022164,,,,,,,,,,,,,,,,,,
AP022179,,,,,,,,,,,,,,,,,,
AP022222,,,,,,,,,,,,,,,,,,
AP022324,,,,,,,,,,,,,,,,,,
AP022333,,,,,,,,,,,,,,,,,,
AP022346,,,,,,,,,,,,,,,,,,
AP022360,,,,,,,,,,,,,,,,,,
AP022368,,,,,,,,,,,,,,,,,,
AP022369,,,,,,,,,,,,,,,,,,
AP022438,,,,,,,,,,,,,,,,,,
AP022472,,,,,,,,,,,,,,,,,,
AP022495,,,,,,,,,,,,,,,,,,
AP022497,,,,,,,,,,,,,,,,,,
AP022539,,,,,,,,,,,,,,,,,,
AP022546,,,,,,,,,,,,,,,,,,
AP022599,Andhra Medical College,Academic,Department of Cardiology ,Associate Professor,Visakhapatnam,Andhra Pradesh,India,530002.0,2018.0,2023.0,National,https://www.linkedin.com/in/madhuri-gj-9a394898,,,2025-04-05 15:06:42,2025-04-05 15:06:42,,
AP022599,NRI Academy of Medical Sciences,Academic,Department of Cardiology ,Assistant Professor,Guntur,Andhra Pradesh,India,522503.0,2014.0,2014.0,National,https://www.linkedin.com/in/madhuri-gj-9a394898,,,2025-04-05 15:59:34,2025-04-05 15:59:34,,
