client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
MH036222,2025-05-01,,0.25,,,1.0,2025-05-01 10:38:00,53.0
UP034015,2025-05-01,,,,,1.0,2025-05-01 10:42:00,30.0
MH036337,2025-05-01,,1.0,,,1.0,2025-05-01 10:44:00,55.0
PB008932,2025-05-01,,0.5,,,1.0,2025-05-01 10:44:00,31.0
MH018640,2025-05-01,,,,,1.0,2025-05-01 10:45:00,30.0
TN009161,2025-05-01,,1.0,,,1.0,2025-05-01 10:46:00,47.0
AP018849,2025-05-01,,,,,1.0,2025-05-01 10:47:00,51.0
MH034417,2025-05-01,,1.0,,,1.0,2025-05-01 10:48:00,48.0
WB002387,2025-05-01,,1.0,,,1.0,2025-05-01 10:49:00,106.0
JK004226,2025-05-01,1.0,,,,,2025-05-01 10:50:00,4.0
MP010134,2025-05-01,,,,,0.5,2025-05-01 10:51:00,40.0
MH030009,2025-05-01,,1.0,,,1.0,2025-05-01 10:52:00,51.0
MH002941,2025-05-01,,1.0,,,1.0,2025-05-01 10:54:00,62.0
DL014055,2025-05-01,0.3333333333333333,0.25,,,1.0,2025-05-01 10:57:00,47.0
TN053493,2025-05-01,,1.0,,,1.0,2025-05-01 10:57:00,36.0
KL013687,2025-05-01,,1.0,,,1.0,2025-05-01 10:59:00,74.0
TS016113,2025-05-01,,0.5,,,,2025-05-01 10:59:00,5.0
OD014824,2025-05-01,0.75,,,,1.0,2025-05-01 11:00:00,40.0
MH064453,2025-05-01,,1.0,,,1.0,2025-05-01 11:01:00,50.0
TN012491,2025-05-01,,1.0,,,0.5,2025-05-01 11:03:00,36.0
TS002972,2025-05-01,,0.75,,,1.0,2025-05-01 11:03:00,45.0
KL004007,2025-05-01,,0.25,,,1.0,2025-05-01 11:05:00,44.0
AP005809,2025-05-01,0.3333333333333333,0.5,,,,2025-05-01 11:06:00,14.0
BR020555,2025-05-01,,1.0,,,1.0,2025-05-01 11:06:00,33.0
WB017354,2025-05-01,1.0,1.0,,,0.5,2025-05-01 11:12:00,38.0
GJ010311,2025-05-01,,1.0,,,1.0,2025-05-01 11:16:00,63.0
TS018602,2025-05-01,,,,,0.3333333333333333,2025-05-01 11:20:00,66.0
DL002952,2025-05-01,0.5,0.25,,,1.0,2025-05-01 11:21:00,71.0
TN014921,2025-05-01,0.75,1.0,,,1.0,2025-05-01 11:22:00,37.0
TN046605,2025-05-01,,1.0,,0.25,1.0,2025-05-01 11:22:00,36.0
AS006974,2025-05-01,,1.0,,,1.0,2025-05-01 11:24:00,49.0
MH008593,2025-05-01,0.5,,,,1.0,2025-05-01 11:24:00,32.0
DL008041,2025-05-01,1.0,,,,1.0,2025-05-01 11:25:00,53.0
PB001596,2025-05-01,,0.6666666666666666,,,,2025-05-01 11:25:00,15.0
MH039110,2025-05-01,,,,,1.0,2025-05-01 11:26:00,47.0
KL009092,2025-05-01,,1.0,,,1.0,2025-05-01 11:27:00,33.0
UP068755,2025-05-01,1.0,1.0,,,,2025-05-01 11:27:00,22.0
HP002796,2025-05-01,0.75,,,,1.0,2025-05-01 11:29:00,40.0
KL013400,2025-05-01,,1.0,,,1.0,2025-05-01 11:29:00,33.0
TN008509,2025-05-01,,0.75,,,,2025-05-01 11:29:00,13.0
KA038052,2025-05-01,,0.75,,,1.0,2025-05-01 11:30:00,47.0
MP002884,2025-05-01,0.75,,,,1.0,2025-05-01 11:30:00,42.0
MH058249,2025-05-01,,,,,1.0,2025-05-01 11:32:00,51.0
AS007582,2025-05-01,,,,,1.0,2025-05-01 11:33:00,127.0
TS018465,2025-05-01,0.75,1.0,,,1.0,2025-05-01 11:33:00,34.0
DL009133,2025-05-01,,,,,1.0,2025-05-01 11:34:00,45.0
HR013093,2025-05-01,,1.0,,,1.0,2025-05-01 11:36:00,54.0
KA016252,2025-05-01,,1.0,,,,2025-05-01 11:38:00,17.0
MH038541,2025-05-01,,1.0,,,,2025-05-01 11:38:00,19.0
RJ009486,2025-05-01,,0.25,,0.25,,2025-05-01 11:39:00,6.0
TS005661,2025-05-01,,0.5,,,1.0,2025-05-01 11:39:00,52.0
UP053585,2025-05-01,1.0,,,,,2025-05-01 11:40:00,17.0
MH036884,2025-05-01,0.25,,,,1.0,2025-05-01 11:44:00,48.0
KL013927,2025-05-01,1.0,,,,0.6666666666666666,2025-05-01 12:09:00,40.5
AP034222,2025-05-01,0.75,,,,1.0,2025-05-01 12:13:00,35.0
AP031634,2025-05-01,0.75,0.75,,,1.0,2025-05-01 12:14:00,40.0
WB043344,2025-05-01,0.5,1.0,0.25,,1.0,2025-05-01 12:24:00,87.0
BR008871,2025-05-01,1.0,0.5,,,,2025-05-01 12:28:00,12.0
GJ021311,2025-05-01,,1.0,,,1.0,2025-05-01 12:29:00,82.0
MP020030,2025-05-01,,1.0,,,1.0,2025-05-01 12:31:00,74.0
RJ016175,2025-05-01,,,,,1.0,2025-05-01 12:31:00,59.0
WB029737,2025-05-01,,1.0,,,,2025-05-01 12:31:00,9.0
JH004778,2025-05-01,,,,,,2025-05-01 12:33:00,24.0
WB034966,2025-05-01,0.75,1.0,,,,2025-05-01 12:33:00,20.0
DL010209,2025-05-01,,1.0,,,,2025-05-01 12:34:00,8.0
HR012953,2025-05-01,,,,,,2025-05-01 12:36:00,5.0
KA029704,2025-05-01,,1.0,,,,2025-05-01 12:37:00,2.0
KL013637,2025-05-01,,1.0,,0.25,1.0,2025-05-01 12:38:00,36.0
TS028984,2025-05-01,,1.0,,,1.0,2025-05-01 12:39:00,48.0
WB003254,2025-05-01,,,,,,2025-05-01 12:39:00,9.0
KA006517,2025-05-01,,,,,,2025-05-01 12:40:00,2.0
KA018268,2025-05-01,1.0,,,,1.0,2025-05-01 12:41:00,54.0
MH009088,2025-05-01,,1.0,,,,2025-05-01 12:43:00,17.0
AP011446,2025-05-01,0.75,1.0,,,,2025-05-01 12:44:00,15.0
KL003464,2025-05-01,,,,,,2025-05-01 12:45:00,8.0
TS004991,2025-05-01,1.0,1.0,,,1.0,2025-05-01 12:46:00,61.0
MH036755,2025-05-01,,,,,,2025-05-01 12:47:00,14.0
GJ012265,2025-05-01,,1.0,,,,2025-05-01 12:48:00,24.0
HR003148,2025-05-01,,0.25,,,,2025-05-01 12:48:00,8.0
TS003024,2025-05-01,,1.0,,,1.0,2025-05-01 12:49:00,94.0
OD006557,2025-05-01,,1.0,,,1.0,2025-05-01 12:51:00,49.0
MH039161,2025-05-01,,1.0,,,,2025-05-01 12:52:00,1.0
MH027020,2025-05-01,,1.0,,,,2025-05-01 12:53:00,2.0
MH032330,2025-05-01,,1.0,,,,2025-05-01 12:56:00,5.0
UP034085,2025-05-01,,,,,,2025-05-01 12:57:00,13.0
AP013045,2025-05-01,,1.0,,,1.0,2025-05-01 13:00:00,63.0
AP002226,2025-05-01,,0.5,,,,2025-05-01 13:08:00,15.0
CH003039,2025-05-01,,0.75,,,1.0,2025-05-01 13:09:00,65.0
MP012634,2025-05-01,1.0,,,,,2025-05-01 13:10:00,28.0
OD006611,2025-05-01,,0.75,,,,2025-05-01 13:12:00,13.0
UP036659,2025-05-01,0.5,,,,1.0,2025-05-01 13:13:00,45.0
KL015068,2025-05-01,,0.25,,,,2025-05-01 13:14:00,5.0
GJ012628,2025-05-01,,1.0,,,,2025-05-01 13:15:00,3.0
KA042743,2025-05-01,,,,,,2025-05-01 13:16:00,3.0
MH069309,2025-05-01,,1.0,,,,2025-05-01 13:17:00,1.0
UP026660,2025-05-01,,1.0,,,1.0,2025-05-01 13:24:00,33.0
AP003673,2025-05-01,,0.5,,,,2025-05-01 13:28:00,13.0
MH014256,2025-05-01,1.0,,,,,2025-05-01 13:29:00,4.0
MH001344,2025-05-01,,0.75,,,,2025-05-01 13:30:00,22.0
GJ009076,2025-05-01,,1.0,,,,2025-05-01 13:38:00,12.0
HR007619,2025-05-01,0.75,0.25,,0.25,,2025-05-01 13:42:00,12.0
AP011487,2025-05-01,1.0,1.0,,0.25,,2025-05-01 13:46:00,16.0
DL029030,2025-05-01,0.75,,,,,2025-05-01 13:46:00,20.0
TS017582,2025-05-01,0.75,,,,,2025-05-01 13:49:00,4.0
MH072906,2025-05-01,0.75,1.0,,,1.0,2025-05-01 13:51:00,54.0
DL008072,2025-05-01,,1.0,,,1.0,2025-05-01 13:53:00,53.0
AP020599,2025-05-01,0.75,0.25,,,1.0,2025-05-01 13:56:00,68.0
KL013932,2025-05-01,,1.0,,,1.0,2025-05-01 13:56:00,62.0
AP019790,2025-05-01,,,,,1.0,2025-05-01 13:58:00,64.0
KL013612,2025-05-01,,0.5,,0.25,0.3333333333333333,2025-05-01 14:00:00,47.0
PB002115,2025-05-01,,1.0,,,,2025-05-01 14:00:00,5.0
OD011553,2025-05-01,,1.0,,,1.0,2025-05-01 14:02:00,58.0
AS007791,2025-05-01,,1.0,,,,2025-05-01 14:06:00,2.0
GJ017939,2025-05-01,,,,,1.0,2025-05-01 14:07:00,37.0
KL004306,2025-05-01,0.75,0.75,,,,2025-05-01 14:13:00,11.0
TN010682,2025-05-01,,1.0,,,,2025-05-01 14:14:00,2.0
AP020469,2025-05-01,0.75,1.0,,,1.0,2025-05-01 14:15:00,40.0
MH040189,2025-05-01,,0.75,,,,2025-05-01 14:16:00,1.0
DL010292,2025-05-01,,0.5,,,,2025-05-01 14:18:00,5.0
OD005303,2025-05-01,,,,,1.0,2025-05-01 14:26:00,49.0
AP005613,2025-05-01,0.75,0.25,,,1.0,2025-05-01 14:29:00,54.0
KA006129,2025-05-01,,1.0,,,1.0,2025-05-01 14:32:00,32.0
AS017156,2025-05-01,0.25,0.5,,,1.0,2025-05-01 14:33:00,45.0
AP028684,2025-05-01,,1.0,,,,2025-05-01 14:38:00,5.0
KL017436,2025-05-01,,,,,,2025-05-01 14:39:00,1.0
UP006757,2025-05-01,1.0,0.75,,,,2025-05-01 14:40:00,21.0
UP031750,2025-05-01,,1.0,,,1.0,2025-05-01 14:44:00,250.0
TS027672,2025-05-01,1.0,,,,,2025-05-01 14:45:00,13.0
AP011039,2025-05-01,0.25,0.75,,,,2025-05-01 14:48:00,22.0
WB006131,2025-05-01,,1.0,,,,2025-05-01 14:50:00,14.0
DL017336,2025-05-01,1.0,,,,1.0,2025-05-01 14:51:00,103.0
UP033105,2025-05-01,1.0,,,,,2025-05-01 14:51:00,21.0
AP024557,2025-05-01,,,,,,2025-05-01 14:52:00,25.0
KL018528,2025-05-01,1.0,,,,,2025-05-01 14:54:00,12.0
KL014143,2025-05-01,0.75,0.5,,,,2025-05-01 14:55:00,15.0
WB051988,2025-05-01,1.0,1.0,,,1.0,2025-05-01 14:55:00,43.0
TS008596,2025-05-01,0.75,1.0,,,,2025-05-01 14:59:00,9.0
KL012720,2025-05-01,,1.0,,,,2025-05-01 15:01:00,4.0
MH035766,2025-05-01,1.0,1.0,,,,2025-05-01 15:01:00,19.0
MH007409,2025-05-01,1.0,1.0,,,,2025-05-01 15:02:00,20.0
TN041297,2025-05-01,,1.0,,,1.0,2025-05-01 15:02:00,50.0
TS019931,2025-05-01,,,,,,2025-05-01 15:03:00,13.0
MH098505,2025-05-01,0.75,0.5,,,1.0,2025-05-01 15:06:00,95.0
TN020846,2025-05-01,0.5,,,,1.0,2025-05-01 15:06:00,31.0
MP020659,2025-05-01,,1.0,,,1.0,2025-05-01 15:07:00,63.0
PB017743,2025-05-01,1.0,1.0,,,,2025-05-01 15:07:00,3.0
UP032699,2025-05-01,,0.25,,,,2025-05-01 15:07:00,13.0
PB007515,2025-05-01,0.75,1.0,,0.25,,2025-05-01 15:10:00,10.0
MH034284,2025-05-01,,,,,,2025-05-01 15:11:00,2.0
TN024357,2025-05-01,1.0,,,,,2025-05-01 15:11:00,15.0
HR002092,2025-05-01,,1.0,,,,2025-05-01 15:12:00,24.0
MH078089,2025-05-01,,1.0,,,0.3333333333333333,2025-05-01 15:14:00,69.0
MH013849,2025-05-01,1.0,,,,0.5,2025-05-01 15:15:00,20.0
PB007560,2025-05-01,,1.0,,,1.0,2025-05-01 15:15:00,40.0
JK000046,2025-05-01,,1.0,,,,2025-05-01 15:17:00,27.0
MH000607,2025-05-01,1.0,,,,,2025-05-01 15:18:00,15.0
HP002968,2025-05-01,1.0,1.0,,,,2025-05-01 15:19:00,4.0
BR026312,2025-05-01,,0.5,,0.5,1.0,2025-05-01 15:20:00,77.0
MH032556,2025-05-01,,1.0,,,,2025-05-01 15:22:00,17.0
MH077260,2025-05-01,,,,,,2025-05-01 15:23:00,21.0
MH032810,2025-05-01,,0.5,,,,2025-05-01 15:25:00,17.0
UP026951,2025-05-01,0.75,,,,,2025-05-01 15:26:00,11.0
KA019264,2025-05-01,,1.0,,,1.0,2025-05-01 15:27:00,65.0
KL001007,2025-05-01,1.0,,,,1.0,2025-05-01 15:33:00,87.0
MH073438,2025-05-01,,1.0,,,,2025-05-01 15:37:00,9.0
KA037451,2025-05-01,1.0,1.0,,,,2025-05-01 15:38:00,22.0
TN031097,2025-05-01,,1.0,,,1.0,2025-05-01 15:42:00,32.0
TN006761,2025-05-01,0.25,1.0,,,1.0,2025-05-01 15:47:00,47.0
KA019469,2025-05-01,0.75,,,,1.0,2025-05-01 15:48:00,47.0
KA000447,2025-05-01,,,,,,2025-05-01 15:50:00,18.0
DL008403,2025-05-01,1.0,,,,1.0,2025-05-01 15:52:00,69.0
AP010973,2025-05-01,,1.0,,,1.0,2025-05-01 15:56:00,47.0
DL010453,2025-05-01,1.0,,0.5,,1.0,2025-05-01 16:00:00,49.0
DL013564,2025-05-01,,0.5,,0.25,,2025-05-01 16:01:00,28.0
WB015121,2025-05-01,,0.25,,,1.0,2025-05-01 16:02:00,44.0
AP034528,2025-05-01,,1.0,,,1.0,2025-05-01 16:08:00,65.0
AP027844,2025-05-01,0.5,,,,,2025-05-01 16:09:00,9.0
WB021188,2025-05-01,1.0,,,,1.0,2025-05-01 16:11:00,40.0
DL010398,2025-05-01,0.75,1.0,,,,2025-05-01 16:12:00,11.0
AP034364,2025-05-01,0.75,0.25,,,1.0,2025-05-01 16:15:00,34.0
KL007619,2025-05-01,,1.0,,,1.0,2025-05-01 16:15:00,67.0
PB008216,2025-05-01,,,,,,2025-05-01 16:15:00,18.0
WB002415,2025-05-01,1.0,,,,,2025-05-01 16:18:00,13.0
TS008825,2025-05-01,,1.0,,,,2025-05-01 16:22:00,21.0
MH038533,2025-05-01,0.75,1.0,,,1.0,2025-05-01 16:23:00,36.0
RJ012686,2025-05-01,1.0,1.0,,,,2025-05-01 16:23:00,1.0
GJ011412,2025-05-01,1.0,,,,,2025-05-01 16:24:00,14.0
RJ005612,2025-05-01,,0.75,,,,2025-05-01 16:25:00,8.0
AS005543,2025-05-01,1.0,1.0,,,,2025-05-01 16:27:00,17.0
MH008725,2025-05-01,1.0,1.0,,0.25,1.0,2025-05-01 16:27:00,36.0
AP029675,2025-05-01,0.75,,,,,2025-05-01 16:30:00,12.0
WBO20576,2025-05-01,0.75,0.75,,,,2025-05-01 16:31:00,19.0
MP017386,2025-05-01,0.5,1.0,,,1.0,2025-05-01 16:33:00,55.0
MH006362,2025-05-01,,1.0,,,,2025-05-01 16:37:00,16.0
WB016093,2025-05-01,0.5,,,,1.0,2025-05-01 16:37:00,35.0
MH033311,2025-05-01,0.75,,,,1.0,2025-05-01 16:39:00,55.0
OD006067,2025-05-01,,,,,0.3333333333333333,2025-05-01 16:41:00,81.0
KL015161,2025-05-01,0.75,1.0,,,1.0,2025-05-01 16:43:00,36.0
DL016750,2025-05-01,,,,,,2025-05-01 16:44:00,11.0
UP007750,2025-05-01,,,,,1.0,2025-05-01 16:47:00,40.0
AS006159,2025-05-01,0.5,1.0,,,1.0,2025-05-01 16:49:00,31.0
DL008127,2025-05-01,,1.0,,,1.0,2025-05-01 16:49:00,43.0
JK008505,2025-05-01,1.0,,,,,2025-05-01 16:50:00,24.0
WB044201,2025-05-01,,1.0,,,0.5,2025-05-01 16:50:00,50.0
GJ004368,2025-05-01,1.0,,,,,2025-05-01 16:52:00,8.0
JH005984,2025-05-01,,1.0,,,,2025-05-01 16:53:00,11.0
WB019025,2025-05-01,,,,,,2025-05-01 16:59:00,13.0
UP030504,2025-05-01,,1.0,,,1.0,2025-05-01 17:05:00,55.0
OD003806,2025-05-01,0.5,,,,1.0,2025-05-01 17:11:00,52.0
UP066037,2025-05-01,1.0,1.0,,,1.0,2025-05-01 17:15:00,34.0
BR012105,2025-05-01,,1.0,,,1.0,2025-05-01 17:19:00,35.0
TN000020,2025-05-01,0.6666666666666666,,,,1.0,2025-05-01 17:21:00,42.0
AS007854,2025-05-01,1.0,1.0,,,1.0,2025-05-01 17:25:00,31.0
MH055062,2025-05-01,0.5,1.0,,,,2025-05-01 17:27:00,16.0
BR013174,2025-05-01,0.75,,,,,2025-05-01 17:29:00,6.0
WB022131,2025-05-01,0.75,0.25,,,1.0,2025-05-01 17:30:00,44.0
MH035977,2025-05-01,,0.25,,,,2025-05-01 17:31:00,21.0
KA008251,2025-05-01,,1.0,,,,2025-05-01 17:34:00,14.0
TS016260,2025-05-01,1.0,,,,1.0,2025-05-01 17:36:00,57.0
MH038131,2025-05-01,,,,,1.0,2025-05-01 17:37:00,32.0
UP003376,2025-05-01,,1.0,,,,2025-05-01 17:37:00,17.0
PB011142,2025-05-01,1.0,1.0,,,1.0,2025-05-01 17:38:00,41.0
KA003511,2025-05-01,1.0,,,,1.0,2025-05-01 17:39:00,30.0
MH028716,2025-05-01,,1.0,,,1.0,2025-05-01 17:40:00,38.0
AP000485,2025-05-01,0.5,0.75,,,1.0,2025-05-01 17:43:00,56.0
GJ010475,2025-05-01,1.0,,,,1.0,2025-05-01 17:43:00,83.0
WB016882,2025-05-01,1.0,1.0,,,1.0,2025-05-01 17:44:00,32.0
BR012367,2025-05-01,,0.5,,,1.0,2025-05-01 17:46:00,49.0
AS008347,2025-05-01,,,,,1.0,2025-05-01 17:48:00,31.0
WB000089,2025-05-01,,0.5,,,,2025-05-01 17:48:00,23.5
MH065284,2025-05-01,1.0,0.75,,,,2025-05-01 17:50:00,15.0
PB007334,2025-05-01,,1.0,,,1.0,2025-05-01 17:50:00,45.0
