client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
KL007565,2025-01-01,0.6666666666666666,0.6666666666666666,,,1.0,2025-01-09 15:55:00,38.0
AS003243,2025-01-01,0.5,1.0,,,0.5,2025-01-09 16:01:00,34.0
GJ010572,2025-01-01,,,,,1.0,2025-01-09 16:01:00,35.0
RJ011304,2025-01-01,,1.0,,,1.0,2025-01-09 16:02:00,59.0
AS007040,2025-01-01,1.0,1.0,,,0.5,2025-01-09 16:04:00,37.0
TN008655,2025-01-01,,,,,1.0,2025-01-09 16:04:00,34.0
TS004575,2025-01-01,,,,,,2025-01-09 16:05:00,14.0
WB016497,2025-01-01,,0.5,,,,2025-01-09 16:06:00,11.0
DL001897,2025-01-01,,1.0,,,1.0,2025-01-09 16:08:00,81.0
KL015068,2025-01-01,,0.2,,,1.0,2025-01-09 16:09:00,72.0
OD013540,2025-01-01,0.16666666666666666,,,,,2025-01-09 16:11:00,8.0
AP005410,2025-01-01,,0.6666666666666666,,,,2025-01-09 16:12:00,14.0
TN032757,2025-01-01,,1.0,,,1.0,2025-01-09 16:12:00,60.0
GJ009765,2025-01-01,,,,,,2025-01-09 16:14:00,25.0
OD003806,2025-01-01,1.0,0.3333333333333333,,,0.5,2025-01-09 16:15:00,32.0
MH033848,2025-01-01,,0.6,,0.2,1.0,2025-01-09 16:19:00,66.0
KA032801,2025-01-01,,1.0,,,0.3333333333333333,2025-01-09 16:20:00,31.0
KL013854,2025-01-01,0.3333333333333333,,,,1.0,2025-01-09 16:23:00,50.0
TS028609,2025-01-01,,,,,1.0,2025-01-09 16:27:00,65.0
MH075920,2025-01-01,,0.75,,,1.0,2025-01-09 16:28:00,57.0
AS006810,2025-01-01,,,,,0.5,2025-01-09 16:34:00,31.0
RJ011243,2025-01-01,,0.75,,,0.3333333333333333,2025-01-09 16:35:00,39.0
WB021512,2025-01-01,,1.0,,,1.0,2025-01-09 16:37:00,96.0
KL015549,2025-01-01,,0.6666666666666666,,,1.0,2025-01-09 16:38:00,76.0
GJ009959,2025-01-01,,1.0,,,1.0,2025-01-09 16:41:00,35.0
CG005518,2025-01-01,1.0,1.0,,,1.0,2025-01-09 16:42:00,45.0
MH013795,2025-01-01,,1.0,,,,2025-01-09 16:43:00,11.0
TS004180,2025-01-01,,,,,,2025-01-09 16:43:00,21.5
MH028719,2025-01-01,,1.0,,,,2025-01-09 16:50:00,15.0
GJ012381,2025-01-01,,0.8333333333333334,,,,2025-01-09 16:53:00,7.0
