client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
TS005542,2025-02-01,,1.0,,,,2025-02-22 11:43:00,24.0
HR003974,2025-02-01,,1.0,,,,2025-02-22 11:45:00,20.5
MH098284,2025-02-01,0.6666666666666666,1.0,,,,2025-02-22 11:45:00,11.0
WB024534,2025-02-01,,1.0,,,1.0,2025-02-22 11:46:00,68.5
MH034742,2025-02-01,,1.0,,,0.5,2025-02-22 11:48:00,27.0
WB021754,2025-02-01,,,,,,2025-02-22 11:49:00,23.5
PB010423,2025-02-01,,,,,0.3333333333333333,2025-02-22 11:50:00,33.0
MH068058,2025-02-01,,1.0,,,0.5,2025-02-22 11:52:00,36.0
TN041159,2025-02-01,,1.0,,0.25,1.0,2025-02-22 11:52:00,32.0
PB017228,2025-02-01,1.0,0.5,,,,2025-02-22 11:53:00,20.0
MH003546,2025-02-01,0.25,,,,,2025-02-22 11:54:00,16.5
MH040003,2025-02-01,,1.0,,,1.0,2025-02-22 11:54:00,39.0
KL034168,2025-02-01,1.0,0.5,,,0.5,2025-02-22 11:56:00,37.0
DL010439,2025-02-01,,,,,0.6666666666666666,2025-02-22 11:57:00,31.5
HR003065,2025-02-01,,1.0,,,0.25,2025-02-22 11:57:00,11.666666666666666
AP001481,2025-02-01,1.0,,,,,2025-02-22 11:58:00,9.0
MH035882,2025-02-01,,1.0,,,1.0,2025-02-22 11:58:00,35.0
JK004167,2025-02-01,,1.0,,,0.5,2025-02-22 11:59:00,34.0
MH051621,2025-02-01,,1.0,,,1.0,2025-02-22 11:59:00,38.0
MH065959,2025-02-01,,1.0,,,0.5,2025-02-22 12:00:00,26.5
MH035500,2025-02-01,,1.0,,,,2025-02-22 12:01:00,23.0
TN023905,2025-02-01,,,,,0.5,2025-02-22 12:03:00,29.0
JH005773,2025-02-01,1.0,1.0,,,0.5,2025-02-22 12:07:00,81.0
UK007758,2025-02-01,0.6666666666666666,1.0,,,0.5,2025-02-22 12:07:00,28.0
WB020684,2025-02-01,1.0,,,,,2025-02-22 12:10:00,1.0
MH035108,2025-02-01,1.0,,,,0.5,2025-02-22 12:11:00,24.5
JK009400,2025-02-01,,1.0,,,1.0,2025-02-22 12:12:00,39.5
WB017104,2025-02-01,,,,,,2025-02-22 12:12:00,19.0
HP015415,2025-02-01,,1.0,,,,2025-02-22 12:13:00,14.0
WB004694,2025-02-01,1.0,,,,0.3333333333333333,2025-02-22 12:13:00,25.0
AP013304,2025-02-01,1.0,1.0,,,0.5,2025-02-22 12:16:00,64.5
GJ024483,2025-02-01,1.0,1.0,,,1.0,2025-02-22 12:16:00,38.5
GJ026279,2025-02-01,,1.0,,,0.5,2025-02-22 12:17:00,27.5
GJ010833,2025-02-01,1.0,1.0,,,1.0,2025-02-22 12:18:00,56.0
UP080468,2025-02-01,,1.0,,0.4,0.5,2025-02-22 12:18:00,229.0
GJ013672,2025-02-01,,1.0,,,0.6666666666666666,2025-02-22 12:21:00,100.0
UP067513,2025-02-01,0.25,1.0,,1.0,,2025-02-22 12:21:00,7.0
GJ009483,2025-02-01,0.5,1.0,,0.2,0.5,2025-02-22 12:23:00,31.0
RJ009777,2025-02-01,,1.0,,0.25,,2025-02-22 12:25:00,8.0
AS006535,2025-02-01,0.6,,,,,2025-02-22 12:26:00,21.0
KL034565,2025-02-01,0.3333333333333333,0.25,,,0.5,2025-02-22 12:27:00,20.0
MH070929,2025-02-01,0.4,,,,,2025-02-22 12:28:00,16.5
MH058541,2025-02-01,1.0,1.0,,,0.5,2025-02-22 12:29:00,83.0
WB015121,2025-02-01,,,,,0.5,2025-02-22 12:29:00,36.0
AP002805,2025-02-01,1.0,1.0,,,,2025-02-22 12:30:00,16.0
KA037371,2025-02-01,0.4,1.0,,,,2025-02-22 12:31:00,15.0
AP035580,2025-02-01,,1.0,,,1.0,2025-02-22 12:35:00,34.5
AP005261,2025-02-01,,1.0,,,1.0,2025-02-22 12:37:00,33.5
DL010234,2025-02-01,,,,,,2025-02-22 12:37:00,18.0
TN002985,2025-02-01,1.0,1.0,,,0.25,2025-02-22 12:38:00,20.333333333333332
KL004842,2025-02-01,,0.5,,,1.0,2025-02-22 12:39:00,39.0
UP027718,2025-02-01,,0.3333333333333333,,,,2025-02-22 12:41:00,19.0
MH082585,2025-02-01,,,,,0.5,2025-02-22 12:42:00,47.0
MH073137,2025-02-01,,0.75,,,0.5,2025-02-22 12:43:00,54.0
GJ012734,2025-02-01,1.0,,,,0.5,2025-02-22 12:45:00,35.0
TS004118,2025-02-01,,1.0,,,1.0,2025-02-22 12:45:00,36.0
AP002784,2025-02-01,,,,,,2025-02-22 12:46:00,9.0
BR013188,2025-02-01,,1.0,,,,2025-02-22 12:48:00,12.5
MH014955,2025-02-01,,1.0,,,0.3333333333333333,2025-02-22 12:48:00,27.0
TN000622,2025-02-01,0.8,1.0,,,,2025-02-22 12:48:00,19.0
MH084402,2025-02-01,,1.0,,,1.0,2025-02-22 12:49:00,33.0
GJ008146,2025-02-01,,1.0,,,0.5,2025-02-22 12:51:00,74.0
GJ024702,2025-02-01,,0.25,,,,2025-02-22 12:53:00,25.0
UP016344,2025-02-01,0.8,0.2,,0.2,0.3333333333333333,2025-02-22 12:54:00,31.0
RJ009829,2025-02-01,,1.0,,,0.5,2025-02-22 12:55:00,54.0
MH048259,2025-02-01,,1.0,,,0.5,2025-02-22 12:58:00,27.0
RJ009135,2025-02-01,,1.0,,,0.5,2025-02-22 12:59:00,38.0
DL013625,2025-02-01,1.0,0.5,,,,2025-02-22 13:01:00,15.0
WB002891,2025-02-01,1.0,0.6666666666666666,,,,2025-02-22 13:02:00,7.0
AS000244,2025-02-01,1.0,,,,,2025-02-22 13:03:00,9.0
MN000292,2025-02-01,,1.0,,0.25,,2025-02-22 13:03:00,26.0
DL033050,2025-02-01,,,,,0.5,2025-02-22 13:04:00,48.0
TS013183,2025-02-01,,1.0,,,1.0,2025-02-22 13:06:00,36.0
HP002410,2025-02-01,,,,,,2025-02-22 13:08:00,7.0
HR005989,2025-02-01,,1.0,,,0.5,2025-02-22 13:09:00,90.0
HP002419,2025-02-01,,1.0,,,,2025-02-22 13:11:00,10.0
