UIN,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_timestamp,award_inserted_timestamp,award_updated_timestamp,award_processed_date,award_inserted_date,award_updated_date,award_delete_flag_timestamp,award_processed_date timestamp,award_inserted_date timestamp
DL020285,Gold Medal,,2003,India,National,https://www.practo.com/delhi/doctor/sanjiv-gupta-cardiologist?practice_id=667756&specialization=Syncope&referrer=doctor_listing&category_name=symptom&category_id=771,,,17:08,17:08,,2025-06-11,2025-06-11,,,2025-06-11 17:08:36,2025-06-11 17:08:36
DL022584,Founder & Executive Member,Association of Family Physician Of India,2010,India,National,https://www.practo.com/delhi/doctor/dr-navneet-singh-1-diabetologist,,,15:15,15:15,,2025-04-25,2025-04-25,,,2025-04-25 15:15:36,2025-04-25 15:15:36
DL023896,Gold Medallist in MS,,,India,National,https://www.practo.com/delhi/doctor/dr-anuj-gupta-general-physician,,,10:14,10:14,,2025-04-15,2025-04-15,,,2025-04-15 10:14:29,2025-04-15 10:14:29
DL024029,Stanley Conklin Research Award - 1st Prize For Best Original Research Paper,,2012,India,National,https://www.practo.com/gurgaon/doctor/dr-hemi-soneja-diabetologist,,,14:52,14:52,,2025-04-15,2025-04-15,,,2025-04-15 14:52:17,2025-04-15 14:52:17
DL024029,Lynn Smaha Resident Research Competition – 3rd Prize,Guthrie Annual Cardiovascular & Diabetes Symposium,2011,India,National,https://www.practo.com/gurgaon/doctor/dr-hemi-soneja-diabetologist,,,14:52,14:52,,2025-04-15,2025-04-15,,,2025-04-15 14:52:17,2025-04-15 14:52:17
DL024029,"Stanley Conklin Research Award, Guthrie Clinic - 3rd Prize For Best Original Research Paper",,2011,India,National,https://www.practo.com/gurgaon/doctor/dr-hemi-soneja-diabetologist,,,14:52,14:52,,2025-04-15,2025-04-15,,,2025-04-15 14:52:17,2025-04-15 14:52:17
DL024384,Distinguished Doctor Award,,2017,India,National,https://www.practo.com/delhi/doctor/dr-sarita-gulati-cardiologist-4,,,17:30:31,17:30:31,,2025-06-11,2025-06-11,,,2025-06-11 17:30:31,2025-06-11 17:30:31
DL029587,Fellowship’s in Adult Cardiothoracic Surgery Award,Wellington Regional Hospital,,New Zealand,National,https://www.practo.com/noida/doctor/dr-vaibhav-mishra-cardiologist,,,14:29,14:29,,2025-04-15,2025-04-15,,,2025-04-15 14:29:30,2025-04-15 14:29:30
DL492460,DM Cardiology,,2015,India,National,https://www.practo.com/delhi/doctor/sandhya-rao-general-physician,,,17:38:03,17:38:03,,2025-06-11,2025-06-11,,,2025-06-11 17:38:03,2025-06-11 17:38:03
GA491728,Goa State merit list holder to stand 7th in the state of Goa SSCE,,,India,National,https://dmrcgoa.com/,,,9:37,9:37,,2025-06-10,2025-06-10,,,2025-06-10 09:37:51,2025-06-10 09:37:51
