Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP022750,"February, 2025",80.00%,,,,,,
AP022759,"February, 2025",,100.00%,,,,,
AP022875,"February, 2025",,33.33%,,,,,
AP022877,"February, 2025",,100.00%,,,,,
AP022892,"February, 2025",60.00%,100.00%,,,,,
AP022917,"February, 2025",,100.00%,,,,,
AP022934,"February, 2025",60.00%,100.00%,,,,,
AP022984,"February, 2025",,100.00%,,16.67%,,,
AP022986,"February, 2025",,50.00%,,,,,
AP023037,"February, 2025",,100.00%,,,,,
AP023153,"February, 2025",100.00%,,,,,,
AP023233,"February, 2025",,50.00%,,,,,
AP023266,"February, 2025",100.00%,100.00%,,,,,
AP023268,"February, 2025",,100.00%,,,,,
AP023286,"February, 2025",80.00%,,,,,,
AP023310,"February, 2025",40.00%,100.00%,,,,,
AP023638,"February, 2025",60.00%,100.00%,,,,,
AP024192,"February, 2025",100.00%,100.00%,,,,,
AP024226,"February, 2025",100.00%,100.00%,,,,,
AP024359,"February, 2025",100.00%,100.00%,,,,,
AP024390,"February, 2025",80.00%,100.00%,,,,,
AP024394,"February, 2025",,100.00%,,,,,
AP024404,"February, 2025",100.00%,100.00%,,25.00%,,,
AP024409,"February, 2025",,25.00%,,,,,
AP024418,"February, 2025",100.00%,100.00%,,,,,
AP024514,"February, 2025",40.00%,33.33%,,,,,
AP024530,"February, 2025",80.00%,100.00%,,,,,
AP024540,"February, 2025",80.00%,,,,,,
AP024644,"February, 2025",,75.00%,,,,,
AP024849,"February, 2025",60.00%,25.00%,,25.00%,,,
AP025028,"February, 2025",,83.33%,,,,,
AP025039,"February, 2025",100.00%,100.00%,,,,,
AP025061,"February, 2025",100.00%,100.00%,,66.67%,,,
AP025108,"February, 2025",100.00%,100.00%,,,,,
AP025212,"February, 2025",100.00%,,,,,,
AP025293,"February, 2025",,100.00%,,,,,
AP025424,"February, 2025",,100.00%,,,,,
AP025425,"February, 2025",100.00%,100.00%,,,,,
AP025426,"February, 2025",80.00%,100.00%,,,,,
AP025519,"February, 2025",60.00%,100.00%,,,,,
AP025535,"February, 2025",100.00%,25.00%,,25.00%,,,
AP025664,"February, 2025",100.00%,75.00%,,,,,
AP025739,"February, 2025",,100.00%,,,,,
AP025749,"February, 2025",,100.00%,,,,,
AP025773,"February, 2025",,100.00%,,,,,
AP025780,"February, 2025",60.00%,,,,,,
AP025829,"February, 2025",60.00%,100.00%,,,,,
AP025891,"February, 2025",100.00%,25.00%,,,,,
AP026030,"February, 2025",100.00%,100.00%,,,,,
AP026074,"February, 2025",,100.00%,,,,,
AP026171,"February, 2025",100.00%,100.00%,,,,,
AP026268,"February, 2025",,100.00%,,,,,
AP026918,"February, 2025",100.00%,100.00%,,,,,
AP026940,"February, 2025",,33.33%,,,,,
AP027190,"February, 2025",,100.00%,,25.00%,,,
AP027332,"February, 2025",,100.00%,,,,,
AP027586,"February, 2025",60.00%,100.00%,,,,,
AP027628,"February, 2025",80.00%,100.00%,,,,,
AP027663,"February, 2025",80.00%,,,,,,
AP027666,"February, 2025",,100.00%,,,,,
AP027715,"February, 2025",,100.00%,,,,,
AP027730,"February, 2025",100.00%,,,,,,
AP027844,"February, 2025",100.00%,,,,,,
AP028108,"February, 2025",100.00%,,,,,,
AP028191,"February, 2025",100.00%,,,,,,
AP028196,"February, 2025",,100.00%,,,,,
AP028227,"February, 2025",60.00%,100.00%,,,,,
AP028348,"February, 2025",100.00%,,,,,,
AP028439,"February, 2025",60.00%,100.00%,,,,,
AP028440,"February, 2025",,100.00%,,,,,
AP028464,"February, 2025",,100.00%,,,,,
AP028482,"February, 2025",,100.00%,,,,,
AP028524,"February, 2025",100.00%,,,,,,
AP028528,"February, 2025",40.00%,100.00%,,,,,
AP028635,"February, 2025",,100.00%,,,,,
AP028684,"February, 2025",,100.00%,,,,,
AP028729,"February, 2025",50.00%,,,,,,
