UIN,event_name,event_topic,event_keywords,event_type,event_role,event_start_date,event_end_date,event_other_participants,other_participants_role,event_sponsor,event_location,event_city,event_country,event_link,event_processed_timestamp,event_inserted_timestamp,event_updated_timestamp,event_processed_date,event_inserted_date,event_updated_date,event_delete_flag_timestamp,event_processed_date timestamp,event_inserted_date timestamp
MH035120,2024 Annual Virtual Conference on Bridging Gaps and Building Knowledge in Diabetes Education,"Fallacies of Glycemic Monitoring Technology: SMBG, HbA1c and CGMS",Diabetes,Conference,Speaker,2024-12-14,2024-12-15,,,Association of Diabetes Educators,,,,https://www.diabeteseducatorsindia.com/uploads/events/brochure/adecon-202414th--15th-december-2024-23.pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2022 Diabetes India World Congress,Beta-cell Preservation: Myth or Fact?,Diabetes,Congress,Speaker,2022-05-20,2022-05-20,,,Diabetes in Asia Study Group (DASG),,,,https://ojs.ijcp.in/index.php/IJCP/article/download/252/188/368,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035120,2025 World Congress of Diabetes,Discussion on Diabetes,Diabetes,Congress,Speaker,2025-02-13,2025-02-16,,,Diabetes in Asia Study Group (DASG),Forum Convention & Celebration Centre,Ahmedabad,India,https://2025.diabetesindia.org.in/wp-content/uploads/2025/02/DiabetesIndia-2025-Agenda_17PM.pdf,17:55,17:55,,2025-04-16,2025-04-16,,,2025-04-16 17:55:17,2025-04-16 17:55:17
MH035191,2022 Vildamac DP CME,Controlling Diabetes & Cardio-metabolic risk with combination of SGLT2i + DPP4i,Diabetes,CME,Speaker,2022-02-06,2022-02-06,,,Diabetes Control of India,,,,https://www.youtube.com/watch?v=fG_REmeaM6M,11:48,11:48,,2025-04-28,2025-04-28,,,2025-04-28 11:48:34,2025-04-28 11:48:34
MH035191,2024 Coronary Intervention Imaging Structural Programme Conference,PCI in Tortuous & Anomalous Anatomy,Percutaneous Coronary Intervention,Conference,Chair,2024-10-18,2024-10-20,"Hasmukh Ravat, Manoj Mashru, Navneet Kumar, Susheel Malani",Chair,,Aurika Hotels & Resorts,Mumbai,India,https://crispcon.in/CRISP-2024_Brochure.pdf,11:48,11:48,,2025-04-28,2025-04-28,,,2025-04-28 11:48:34,2025-04-28 11:48:34
MH035648,2024 Coronary Intervention Imaging Structural Programme Conference,TAVI +,Transcatheter Aortic Valve Implantation,Conference,Chair,2024-10-18,2024-10-20,"Ajay Mahajan, Ayush Khurana, Nikhil Joshi",Chair,,Aurika Hotels & Resorts,Mumbai,India,https://crispcon.in/CRISP-2024_Brochure.pdf,10:50,10:50,,2025-04-19,2025-04-19,,,2025-04-19 10:50:11,2025-04-19 10:50:11
MH037067,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 7 - STEMI (10 mins talk + 2 mins discussion),STEMI,Conference,Chair,2025-02-28,2025-03-02,"Ajit Bhagwat, Abhijeet Joshi, Nagesh Waghmare",Chair,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_Maharashtra_Brochure.pdf,17:42,17:42,,2025-04-17,2025-04-17,,,2025-04-17 17:42:59,2025-04-17 17:42:59
MH037067,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 10 - Presidential Oration,Cardiology,Conference,Chair,2025-02-28,2025-03-02,"Vilas Magarkar, Ashish Deshpande, Milind Kharche",Chair,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_Maharashtra_Brochure.pdf,17:42,17:42,,2025-04-17,2025-04-17,,,2025-04-17 17:42:59,2025-04-17 17:42:59
MH037067,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 2 - Complications (6 mins talk + 2 mins discussion),Cardiology,Conference,Judge,2025-02-28,2025-03-02,"Rajiv Menon, Mashhadi Mahpaekar",Judge,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_Maharashtra_Brochure.pdf,17:42,17:42,,2025-04-17,2025-04-17,,,2025-04-17 17:42:59,2025-04-17 17:42:59
MH037067,"2025 Annual Conference of the Cardiological Society of India, Maharashtra State",Session 7 - Potpourri (6 mins talk + 2 mins discussion),Cardiology,Conference,Judge,2025-02-28,2025-03-02,"Abhijit Joshi, Ashish Deshpande",Judge,Cardiological Society of India - Maharashtra State Chapter,Rama International - Chh. Sambhaji Nagar,Aurangabad,India,https://www.csimaharashtra.com/Brochure/CSI_Maharashtra_Brochure.pdf,17:42,17:42,,2025-04-17,2025-04-17,,,2025-04-17 17:42:59,2025-04-17 17:42:59
