UIN,acd_institute_name,acd_institute_type,acd_department,acd_position,acd_city,acd_state,acd_country,acd_postal_code,acd_tenure_from_date,acd_tenure_to_date,acd_association_type,acd_source_url1,acd_source_url2,acd_source_url3,acd_processed_timestamp,acd_inserted_timestamp,acd_updated_timestamp,acd_processed_date,acd_inserted_date,acd_updated_date,acd_delete_flag_timestamp,acd_processed_date timestamp,acd_inserted_date timestamp,,,,
DL018402,All India Institute of Medical Sciences,Academic,,Consultant,New Delhi,Delhi,India,110029,2015,2015,National,https://www.linkedin.com/in/utsav-sahu-a719b2112/?originalSubdomain=in,,,9:31,9:31,,10/06/2025,10/06/2025,,,10/06/2025 9:31,10/06/2025 9:31,,,,
DL020285,Banaras Hindu University,Academic,Department of Cardiology,Senior Resident,Varanasi,Uttar Pradesh,India,221005,2005,2008,National,https://www.practo.com/delhi/doctor/sanjiv-gupta-cardiologist?practice_id=667756&specialization=Syncope&referrer=doctor_listing&category_name=symptom&category_id=771,,,17:14,17:14,,11/06/2025,11/06/2025,,,11/06/2025 17:14,11/06/2025 17:14,,,,
DL021065,Postgraduate Institute of Medical Education and Research,Academic,,Junior Resident,,Chandigarh,India,160012,2019,2011,National,https://www.linkedin.com/in/dr-asharam-panda-md-dm-774365213/,,,12:43,12:43,,14/06/2025,14/06/2025,,,14/06/2025 12:43,14/06/2025 12:43,,,,
DL021065,"All India Institute of Medical Sciences, New Delhi",Academic,,Senior Resident,New Delhi,Delhi,India,110029,2016,2018,National,https://www.linkedin.com/in/dr-asharam-panda-md-dm-774365213/,,,12:43,12:43,,14/06/2025,14/06/2025,,,14/06/2025 12:43,14/06/2025 12:43,,,,
DL027581,Hamdard Institute of Medical Sciences and Research,Hospital,Internal Medicine Department,Assistant Professor,New Delhi,New Delhi,India,110062,,,National,https://www.himsr.co.in/doctor-profile/dr-dharmander-singh/,,,9:24:10,9:24:10,,10/06/2025,10/06/2025,,,10/06/2025 9:24,10/06/2025 9:24,,,,
DL027899,SMS Medical College,Academic,,Clinical Fellow,Jaipur,Rajasthan,India,302004,2018,2021,National,https://in.linkedin.com/in/dr-harnish-singh-bhatia-27038824,,,12:18,12:18,,14/06/2025,14/06/2025,,,14/06/2025 12:18,14/06/2025 12:18,,,,
DL027899,Kasturba Medical College,Academic,,Senior Resident,Manipal,Karnataka,India,576104,2018,2018,National,https://in.linkedin.com/in/dr-harnish-singh-bhatia-27038824,,,12:18,12:18,,14/06/2025,14/06/2025,,,14/06/2025 12:18,14/06/2025 12:18,,,,
DL029587,"Fortis Hospital, Noida",Hospital,,Director,Noida,Uttar Pradesh,India,209217,2015,2021,National,https://drvaibhavmishra.com/best-cardiac-surgeon-in-delhi-3/,,,12:24,12:24,,14/06/2025,14/06/2025,,,14/06/2025 12:24,14/06/2025 12:24,,,,
DL029587,"Fortis Hospital, Noida",Hospital,CTVS,Head,Noida,Uttar Pradesh,India,209217,2015,2021,National,https://drvaibhavmishra.com/best-cardiac-surgeon-in-delhi-3/,,,12:24,12:24,,14/06/2025,14/06/2025,,,14/06/2025 12:24,14/06/2025 12:24,,,,
DL029587,Royal Melbourne Hospital,Hospital,Adult Cardiothoracic Surgery,Advanced Fellow,Melbourne,Victoria,Australia,3001,2013,2015,International,https://drvaibhavmishra.com/best-cardiac-surgeon-in-delhi-3/,,,12:24,12:24,,14/06/2025,14/06/2025,,,14/06/2025 12:24,14/06/2025 12:24,,,,
DL029587,Melbourne Private Hospital,Hospital,Adult Cardiothoracic Surgery,Advanced Fellow,Parkville,Victoria,Australia,3050,2013,2015,International,https://drvaibhavmishra.com/best-cardiac-surgeon-in-delhi-3/,,,12:24,12:24,,14/06/2025,14/06/2025,,,14/06/2025 12:24,14/06/2025 12:24,,,,
DL029587,Wellington Regional Hospital,Hospital,Adult Cardiothoracic Surgery,Senior Fellow,Wellington,,New Zealand,5016,2010,2013,International,https://drvaibhavmishra.com/best-cardiac-surgeon-in-delhi-3/,,,12:24,12:24,,14/06/2025,14/06/2025,,,14/06/2025 12:24,14/06/2025 12:24,,,,
DL029587,"Fortis Hospital, New Delhi",Hospital,Department of Cardiac Surgery,Head,New Delhi,Delhi,India,110001,,,National,https://drvaibhavmishra.com/best-cardiac-surgeon-in-delhi-3/,,,12:24,12:24,,14/06/2025,14/06/2025,,,14/06/2025 12:24,14/06/2025 12:24,,,,
DL029587,Otago University,Academic,Department of Surgery,Honorary Clinical Lecturer,Wellington,,New Zealand,5016,,,International,https://drvaibhavmishra.com/best-cardiac-surgeon-in-delhi-3/,,,12:24,12:24,,14/06/2025,14/06/2025,,,14/06/2025 12:24,14/06/2025 12:24,,,,
DL030140,Hamdard Institute of Medical Sciences and Research,Hospital,Internal Medicine Department,Assistant Professor,New Delhi,New Delhi,India,110062,,,National,https://www.himsr.co.in/doctor-profile/dr-saood-malik/,,,9:08,9:08,,10/06/2025,10/06/2025,,,10/06/2025 9:08,10/06/2025 9:08,,,,
GJ006445,Sachdev Hospital,Academic,,Owner,Surat,Gujarat ,India,394201,2014,2015,National,https://www.linkedin.com/in/dr-ravi-jakka-a4226b29/?originalSubdomain=in,,,9:36,9:36,,10/06/2025,10/06/2025,,,10/06/2025 9:36,10/06/2025 9:36,,,,
GJ006445,Shree Mehta Sarvjaneek Hospital,Academic,Medicine Department,Junior Consultant,Somnath,Gujarat ,India,362560,2013,2014,National,https://www.linkedin.com/in/dr-ravi-jakka-a4226b29/?originalSubdomain=in,,,9:36:13,9:36:13,,10/06/2025,10/06/2025,,,10/06/2025 9:36,10/06/2025 9:36,,,,
GJ009957,Medilink Hospital,Hospital,,ICU Incharge,Ahmedabad,Gujarat,India,380052,2002,2003,National,https://drgauravchhaya.com/about.html,,,17:22,17:22,,11/06/2025,11/06/2025,,,11/06/2025 17:22,11/06/2025 17:22,,,,
GJ009957,Sterling Hospital,Hospital,,Physician,Ahmedabad,Gujarat,India,380052,2001,2004,National,https://drgauravchhaya.com/about.html,,,17:22:04,17:22:04,,11/06/2025,11/06/2025,,,11/06/2025 17:22,11/06/2025 17:22,,,,
GJ009957,Shiv Hospital,Hospital,Critical Care Unit,Physician,Rajkot,Gujarat,India,360001,2000,2000,National,https://drgauravchhaya.com/about.html,,,17:22:04,17:22:04,,11/06/2025,11/06/2025,,,11/06/2025 17:22,11/06/2025 17:22,,,,
GJ009957,Parekh Hospital,Hospital,,Assistant Physician,Rajkot,Gujarat,India,360001,,,National,https://drgauravchhaya.com/about.html,,,17:22,17:22,,11/06/2025,11/06/2025,,,11/06/2025 17:22,11/06/2025 17:22,,,,
GJ009957,"Satellite Hospital, Ahmedabad",Hospital,,Cardiologist Consultant,Ahmedabad,Gujarat,India,380052,,,National,https://drgauravchhaya.com/about.html,,,17:22:04,17:22:04,,11/06/2025,11/06/2025,,,11/06/2025 17:22,11/06/2025 17:22,,,,
GJ010217,Marengo CIMS Hospital,Hospital,,Clinical Care Consultant,Ahmedabad,Gujarat,India,380060,2012,2017,National,https://drjineshshah.com/about-profile/,,,18:06:53,18:06:53,,13/06/2025,13/06/2025,,,13/06/2025 18:06,13/06/2025 18:06,,,,
GJ010217,"Apollo Hospital, Ahmedabad",Hospital,Department of Hemato-oncology and Transplant Medicine,Hemato-oncology Physician,Ahmedabad,Gujarat,India,382428,2011,2012,National,https://drjineshshah.com/about-profile/,,,18:06,18:06,,13/06/2025,13/06/2025,,,13/06/2025 18:06,13/06/2025 18:06,,,,
GJ010217,Marengo CIMS Hospital,Hospital,,Clinical Care Director,Ahmedabad,Gujarat,India,380060,2009,2001,National,https://drjineshshah.com/about-profile/,,,18:06:53,18:06:53,,13/06/2025,13/06/2025,,,13/06/2025 18:06,13/06/2025 18:06,,,,
GJ010217,Aarna Superspeciality Hospital,Hospital,,Consultant Physician,Ahmedabad,Gujarat,India,380007,,,National,https://drjineshshah.com/about-profile/,,,18:06:53,18:06:53,,13/06/2025,13/06/2025,,,13/06/2025 18:06,13/06/2025 18:06,,,,
GJ010217,Aarna Superspeciality Hospital,Hospital,,Diabetologist,Ahmedabad,Gujarat,India,380007,,,National,https://drjineshshah.com/about-profile/,,,18:06,18:06,,13/06/2025,13/06/2025,,,13/06/2025 18:06,13/06/2025 18:06,,,,
